Keyword,Category,Priority,Rationale,Expected_Articles
"interleukin-7 T-cell aging",Core Biomarker - IL-7,Critical,"IL-7 is the dominant SHAP feature (0.376) and central hub in feature interactions. Therapeutic target for immune reconstitution. Broadened from 'frailty interleukin-7 T-cell' (0 results).",50-100
"IL-7 aging immune dysfunction",Core Biomarker - IL-7,Critical,"IL-7's role in T-cell homeostasis and age-related immune decline. Sign flip feature between frail/non-frail cohorts. Broadened from 'frailty IL-7 immunosenescence' (0 results).",30-60
"GM-CSF elderly myeloid function",Core Biomarker - GM-CSF,Critical,"GM-CSF is 2nd most stable feature (SHAP 0.283). Represents myeloid axis of immune dysregulation. Broadened from 'frailty GM-CSF myeloid' (0 results).",20-50
"frailty interleukin-2 T-cell activation",Core Biomarker - IL-2,High,"IL-2 shows largest effect size (d=0.809) in correlation analysis. Key T-cell proliferation marker.",30-50
"frailty interleukin-6 inflammation",Core Biomarker - IL-6,High,"IL-6 is classic inflammaging marker with 90% elevation in frail patients. Widely studied.",100-200
"interleukin-17 aging inflammation",Core Biomarker - IL-17,High,"IL-17 represents Th17 pathway. Medium effect size (d=0.711). Autoimmunity link. Broadened from 'frailty interleukin-17 Th17' (0 results).",20-40
"inflammaging frailty cytokines",Paradigm - Inflammaging,Critical,"Core theoretical framework. Most cytokines elevated in frail (IL-6 +90%, IL-2 +281%).",50-100
"immunosenescence frailty elderly",Paradigm - Immunosenescence,Critical,"Competing paradigm. Partial evidence for depleted immune capacity (GM-CSF -14%, IL-1ra -7%).",40-80
"frailty T-cell homeostasis aging",Immune Pathway - T-cell,High,"T-cell Homeostasis pathway has highest SHAP importance (0.737). IL-7/IL-2/IL-9/IL-15 cluster.",30-60
"frailty CD4 CD8 ratio",Immune Pathway - T-cell,High,"Expected downstream effect of IL-7 depletion. Inverted CD4/CD8 ratio marker of immunosenescence.",20-40
"naive T-cells aging CD45RA",Immune Pathway - T-cell,High,"Mechanistic validation for IL-7 findings. Thymic involution and reduced naive T-cell reserves. Broadened from 'frailty naive T-cells CD45RA' (0 results).",15-30
"frailty monocyte macrophage activation",Immune Pathway - Myeloid,High,"GM-CSF axis validation. Impaired myeloid responses in inflammaging.",25-50
"frailty neutrophil function IL-8",Immune Pathway - Myeloid,Medium,"IL-8 shows 19% elevation in frail. Neutrophil chemotaxis marker.",15-30
"eotaxin aging eosinophil",Immune Pathway - Eosinophil,Medium,"Eotaxin is 4th most important feature (SHAP 0.221). Type 2 immunity pathway. Broadened from 'frailty eosinophil eotaxin' (0 results).",10-25
"frailty IL-1 receptor antagonist",Anti-inflammatory,Medium,"IL-1ra shows genuinely lower levels in frail (-7%). Anti-inflammatory capacity marker.",15-30
"interleukin-9 aging Th9",T-cell/Allergic,Medium,"IL-9 is protective feature (SHAP 0.208). Th2/mast cell pathway. Broadened from 'frailty interleukin-9 mast cell' (0 results).",10-20
"frailty TNF-alpha elderly",Pro-inflammatory,High,"TNF-α elevated in frail (+2%). Central pro-inflammatory cytokine.",50-100
"interferon-gamma elderly inflammation",Pro-inflammatory,Medium,"IFN-γ elevated +34% in frail. Th1 cytokine and macrophage activator. Broadened from 'frailty interferon-gamma Th1' (0 results).",20-40
"IL-1beta NLRP3 aging",Pro-inflammatory,Medium,"IL-1β inflammasome activation marker. Medium effect size. Broadened from 'frailty interleukin-1beta NLRP3' (0 results).",20-40
"frailty interleukin-10 regulation",Anti-inflammatory,Medium,"IL-10 elevated +29% in frail (compensatory). Anti-inflammatory cytokine.",25-50
"frailty PDGF growth factor",Growth/Repair,Medium,"PDGFbb shows protective SHAP (0.181). Tissue repair capacity.",10-20
"FGF elderly vascular",Growth/Repair,Low,"FGF basic growth factor. Elevated in frail (inflammaging). Broadened from 'frailty FGF angiogenesis' (0 results).",10-20
